date,open,high,low,close,volume
2020-10-19 00:00:00+00:00,220.415,222.3,213.72,214.22,27625841
2020-10-20 00:00:00+00:00,215.8,217.37,213.0901,214.65,22753511
2020-10-21 00:00:00+00:00,213.12,216.92,213.12,214.8,22724906
2020-10-22 00:00:00+00:00,213.93,216.055,211.7,214.89,22351450
2020-10-23 00:00:00+00:00,215.03,216.28,213.16,216.23,18879608
2020-10-26 00:00:00+00:00,213.85,216.3399,208.1,210.08,37111561
2020-10-27 00:00:00+00:00,211.59,214.67,210.329,213.25,36700325
2020-10-28 00:00:00+00:00,207.67,208.84,202.1,202.68,51195593
2020-10-29 00:00:00+00:00,204.07,207.36,203.37,204.72,31432563
2020-10-30 00:00:00+00:00,203.5,204.29,199.62,202.47,36980111
2020-11-02 00:00:00+00:00,204.29,205.28,200.12,202.33,30842163
2020-11-03 00:00:00+00:00,203.89,208.12,203.12,206.43,27512030
2020-11-04 00:00:00+00:00,214.02,218.32,212.4185,216.39,42311777
2020-11-05 00:00:00+00:00,222.04,224.12,221.15,223.29,36080137
2020-11-06 00:00:00+00:00,222.26,224.36,218.03,223.72,25231895
2020-11-09 00:00:00+00:00,224.435,228.12,217.88,218.39,44394950
2020-11-10 00:00:00+00:00,214.5,216.5,209.72,211.01,44045120
2020-11-11 00:00:00+00:00,212.39,218.04,212.2,216.55,29440788
2020-11-12 00:00:00+00:00,217.21,219.11,214.46,215.44,21616115
2020-11-13 00:00:00+00:00,216.36,217.42,214.16,216.51,18630307
2020-11-16 00:00:00+00:00,214.87,217.74,214.52,217.23,24953344
2020-11-17 00:00:00+00:00,216.1,217.68,214.08,214.46,24154112
2020-11-18 00:00:00+00:00,213.65,215.17,210.93,211.08,28372789
2020-11-19 00:00:00+00:00,211.38,213.03,209.93,212.42,24792746
2020-11-20 00:00:00+00:00,212.2,213.285,210.0,210.39,22843119
2020-11-23 00:00:00+00:00,210.95,212.29,208.16,210.11,25683507
2020-11-24 00:00:00+00:00,209.59,214.25,208.86,213.86,33830438
2020-11-25 00:00:00+00:00,215.11,215.29,212.46,213.87,21012887
2020-11-27 00:00:00+00:00,214.85,216.27,214.04,215.23,14512213
2020-11-30 00:00:00+00:00,214.1,214.76,210.835,214.07,33064753
2020-12-01 00:00:00+00:00,214.51,217.32,213.35,216.21,30498026
2020-12-02 00:00:00+00:00,214.88,215.47,212.8,215.37,23724509
2020-12-03 00:00:00+00:00,214.61,216.3757,213.65,214.24,25120922
2020-12-04 00:00:00+00:00,214.22,215.38,213.18,214.36,24666039
2020-12-07 00:00:00+00:00,214.37,215.54,212.99,214.29,24619997
2020-12-08 00:00:00+00:00,213.97,216.95,212.89,216.01,23284094
2020-12-09 00:00:00+00:00,215.16,215.225,211.214,211.8,32440603
2020-12-10 00:00:00+00:00,211.77,213.08,210.36,210.52,26467017
2020-12-11 00:00:00+00:00,210.05,213.32,209.11,213.26,30979440
2020-12-14 00:00:00+00:00,213.1,216.21,212.88,214.2,28798379
2020-12-15 00:00:00+00:00,215.165,215.42,212.24,214.13,27018106
2020-12-16 00:00:00+00:00,214.75,220.11,214.72,219.28,35023253
2020-12-17 00:00:00+00:00,219.87,220.89,217.92,219.42,32515784
2020-12-18 00:00:00+00:00,218.59,219.69,216.02,218.59,63354922
2020-12-21 00:00:00+00:00,217.55,224.0,217.2801,222.59,37181886
2020-12-22 00:00:00+00:00,222.69,225.63,221.85,223.94,22643397
2020-12-23 00:00:00+00:00,223.11,223.5589,220.8,221.02,18699638
2020-12-24 00:00:00+00:00,221.42,223.61,221.2,222.75,10550572
2020-12-28 00:00:00+00:00,224.45,226.03,223.02,224.96,17762701
2020-12-29 00:00:00+00:00,226.31,227.18,223.58,224.15,17403213
2020-12-30 00:00:00+00:00,225.23,225.63,221.47,221.68,20272337
2020-12-31 00:00:00+00:00,221.7,223.0,219.68,222.42,20942132
2021-01-04 00:00:00+00:00,222.53,223.0,214.81,217.69,37130139
2021-01-05 00:00:00+00:00,217.26,218.52,215.7,217.9,23822953
2021-01-06 00:00:00+00:00,212.17,216.4899,211.94,212.25,35930653
2021-01-07 00:00:00+00:00,214.04,219.34,213.71,218.29,27694480
2021-01-08 00:00:00+00:00,218.68,220.58,217.0261,219.62,22956206
2021-01-11 00:00:00+00:00,218.47,218.91,216.73,217.49,23047029
2021-01-12 00:00:00+00:00,216.5,217.1,213.3202,214.93,23148341
2021-01-13 00:00:00+00:00,214.02,216.76,213.9266,216.34,20087080
2021-01-14 00:00:00+00:00,215.91,217.46,212.74,213.02,29346737
2021-01-15 00:00:00+00:00,213.52,214.51,212.03,212.65,31746512
2021-01-19 00:00:00+00:00,213.75,216.98,212.63,216.44,30480859
2021-01-20 00:00:00+00:00,217.7,225.79,217.2908,224.34,37777260
2021-01-21 00:00:00+00:00,224.7,226.3,222.42,224.97,30749553
2021-01-22 00:00:00+00:00,227.08,230.07,225.8,225.95,30172663
2021-01-25 00:00:00+00:00,229.12,229.78,224.22,229.53,33152095
2021-01-26 00:00:00+00:00,231.86,234.18,230.08,232.33,49169601
2021-01-27 00:00:00+00:00,238.0,240.44,230.14,232.9,69870638
2021-01-28 00:00:00+00:00,235.61,242.64,235.09,238.93,49111159
2021-01-29 00:00:00+00:00,235.99,238.02,231.35,231.96,42503138
2021-02-01 00:00:00+00:00,235.06,242.5,232.43,239.65,33314193
2021-02-02 00:00:00+00:00,241.3,242.31,238.69,239.51,25678356
2021-02-03 00:00:00+00:00,239.57,245.09,239.26,243.0,27158104
2021-02-04 00:00:00+00:00,242.66,243.2399,240.37,242.01,25296100
2021-02-05 00:00:00+00:00,242.23,243.28,240.42,242.2,18054752
2021-02-08 00:00:00+00:00,243.15,243.68,240.81,242.47,22211929
2021-02-09 00:00:00+00:00,241.87,244.76,241.38,243.77,23471475
2021-02-10 00:00:00+00:00,245.0,245.92,240.89,242.82,22117240
2021-02-11 00:00:00+00:00,244.78,245.15,242.15,244.49,15751059
2021-02-12 00:00:00+00:00,243.9332,245.3,242.73,244.99,16561079
2021-02-16 00:00:00+00:00,245.03,246.13,242.92,243.7,26728487
2021-02-17 00:00:00+00:00,241.32,244.31,240.94,244.2,21451617
2021-02-18 00:00:00+00:00,241.8,243.93,240.86,243.79,16925563
2021-02-19 00:00:00+00:00,243.75,243.86,240.18,240.97,25262600
2021-02-22 00:00:00+00:00,237.42,237.93,232.4,234.51,36182764
2021-02-23 00:00:00+00:00,230.325,234.83,228.73,233.27,30228704
2021-02-24 00:00:00+00:00,230.01,235.2,229.0,234.55,26339746
2021-02-25 00:00:00+00:00,232.08,234.5852,227.88,228.99,39118089
2021-02-26 00:00:00+00:00,231.525,235.37,229.54,232.38,37545055
2021-03-01 00:00:00+00:00,235.9,237.47,233.15,236.94,25332837
2021-03-02 00:00:00+00:00,237.01,237.3,233.45,233.87,22812459
2021-03-03 00:00:00+00:00,232.155,233.5799,227.26,227.56,34029526
2021-03-04 00:00:00+00:00,226.735,232.49,224.26,226.73,44727785
2021-03-05 00:00:00+00:00,229.5165,233.27,226.46,231.6,41872770
2021-03-08 00:00:00+00:00,231.37,233.365,227.13,227.39,35267440
2021-03-09 00:00:00+00:00,232.88,235.3839,231.67,233.78,33080531
2021-03-10 00:00:00+00:00,237.0,237.0,232.04,232.42,29746812
2021-03-11 00:00:00+00:00,234.96,239.17,234.31,237.13,29907586
2021-03-12 00:00:00+00:00,234.01,235.82,233.23,235.75,22653662
2021-03-15 00:00:00+00:00,234.96,235.185,231.81,234.81,26042669
2021-03-16 00:00:00+00:00,236.28,240.055,235.94,237.71,28092196
2021-03-17 00:00:00+00:00,236.15,238.55,233.23,237.04,29562100
2021-03-18 00:00:00+00:00,232.56,234.19,230.33,230.72,34852251
2021-03-19 00:00:00+00:00,231.02,232.474,229.3496,230.35,46430730
2021-03-22 00:00:00+00:00,230.27,236.9,230.14,235.99,30127005
2021-03-23 00:00:00+00:00,237.485,241.05,237.07,237.58,31638376
2021-03-24 00:00:00+00:00,237.845,238.0,235.32,235.46,25620127
2021-03-25 00:00:00+00:00,235.3,236.94,231.57,232.34,34061853
2021-03-26 00:00:00+00:00,231.55,236.71,231.55,236.48,25479853
2021-03-29 00:00:00+00:00,236.59,236.8,231.88,235.24,25227455
2021-03-30 00:00:00+00:00,233.525,233.85,231.1,231.85,24792012
2021-03-31 00:00:00+00:00,232.91,239.1,232.39,235.77,43623471
2021-04-01 00:00:00+00:00,238.47,242.84,238.0501,242.35,30337982
2021-04-05 00:00:00+00:00,242.76,249.96,242.7,249.07,36910609
2021-04-06 00:00:00+00:00,247.61,249.4,246.88,247.86,22931923
2021-04-07 00:00:00+00:00,247.81,250.93,247.19,249.9,22719835
2021-04-08 00:00:00+00:00,252.77,254.139,252.0,253.25,23625197
2021-04-09 00:00:00+00:00,252.87,255.99,252.44,255.85,24326833
2021-04-12 00:00:00+00:00,254.71,257.67,254.62,255.91,27148668
2021-04-13 00:00:00+00:00,257.2573,259.19,256.83,258.49,23837469
2021-04-14 00:00:00+00:00,257.475,258.83,255.16,255.59,23070938
2021-04-15 00:00:00+00:00,257.931,259.93,257.73,259.5,25627481
2021-04-16 00:00:00+00:00,259.47,261.0,257.6014,260.74,24878582
2021-04-19 00:00:00+00:00,260.19,261.48,257.821,258.74,23209260
2021-04-20 00:00:00+00:00,257.82,260.2,256.84,258.26,19722875
2021-04-21 00:00:00+00:00,258.94,260.68,257.25,260.58,24030383
2021-04-22 00:00:00+00:00,260.21,261.78,255.64,257.17,25606152
2021-04-23 00:00:00+00:00,257.88,261.51,257.27,261.15,21499286
2021-04-26 00:00:00+00:00,261.66,262.435,260.17,261.55,19763346
2021-04-27 00:00:00+00:00,261.585,263.19,260.12,261.97,31014213
2021-04-28 00:00:00+00:00,256.078,256.5399,252.95,254.56,46903119
2021-04-29 00:00:00+00:00,255.46,256.1,249.0,252.51,40589023
2021-04-30 00:00:00+00:00,249.74,253.08,249.6,252.18,30945098
2021-05-03 00:00:00+00:00,253.4,254.35,251.12,251.86,19626568
2021-05-04 00:00:00+00:00,250.97,251.21,245.76,247.79,32756052
2021-05-05 00:00:00+00:00,249.06,249.5,245.82,246.47,21901325
2021-05-06 00:00:00+00:00,246.45,249.86,244.69,249.73,26491085
